NBER,period,location,tau,p_value,classification
Chemical,first,27211,0.7578946948051453,3.4570693969726562e-06,sporadic hotspot
Chemical,first,27212,0.13684208691120148,0.4173041582107544,sporadic coldspot
Chemical,first,27214,0.021052630618214607,0.922461986541748,sporadic coldspot
Chemical,first,27215,0.4105262756347656,0.012482166290283203,consecutive hotspot
Chemical,first,27216,-0.31578946113586426,0.055592965334653854,sporadic coldspot
Chemical,first,27217,0.10526315122842789,0.5376031398773193,sporadic coldspot
Chemical,first,27219,-0.23157893121242523,0.16298440098762512,sporadic coldspot
Chemical,first,27220,0.505263090133667,0.0020546913146972656,consecutive hotspot
Chemical,first,27221,-0.18947367370128632,0.2561449408531189,sporadic coldspot
Chemical,first,27223,0.5473683476448059,8.324384689331055e-4,consecutive hotspot
Chemical,first,27224,0.9157894253730774,0,sporadic hotspot
Chemical,first,27225,-0.27368417382240295,0.09799377620220184,no pattern detected
Chemical,first,27226,0.15789473056793213,0.34676408767700195,sporadic coldspot
Chemical,first,27227,0.3999999761581421,0.014961004257202148,sporadic coldspot
Chemical,first,27228,-0.5894736647605896,3.166108508594334e-4,sporadic coldspot
Chemical,first,27301,-0.052631575614213943,0.7702877521514893,no pattern detected
Chemical,first,27321,0.2526315450668335,0.12728869915008545,no pattern detected
Chemical,first,27361,-0.705263078212738,1.5953812180669047e-5,sporadic coldspot
Chemical,first,28110,0.27368417382240295,0.09799373149871826,consecutive hotspot
Chemical,first,28201,0.7999999523162842,9.5367431640625e-7,sporadic coldspot
Chemical,first,28202,-0.09473683685064316,0.5812547206878662,sporadic hotspot
Chemical,first,28203,0.30526313185691833,0.06441104412078857,sporadic coldspot
Chemical,first,28204,0.010526315309107304,0.9741177558898926,sporadic hotspot
Chemical,first,28206,-0.46315786242485046,0.004762812051922083,no pattern detected
Chemical,first,28207,-0.12631577253341675,0.4555354118347168,sporadic hotspot
Chemical,first,28210,0.747368335723877,4.76837158203125e-6,sporadic coldspot
Chemical,first,28212,-0.06315788626670837,0.721176266670227,sporadic coldspot
Chemical,first,28214,-0.2631578743457794,0.1118866577744484,no pattern detected
Chemical,first,28216,0.8421052098274231,2.384185791015625e-7,sporadic hotspot
Chemical,first,28217,-0.6210525631904602,1.4706056390423328e-4,no pattern detected
Chemical,first,28219,0.021052630618214607,0.922461986541748,no pattern detected
Chemical,first,28220,0.473684161901474,0.0038826465606689453,sporadic coldspot
Chemical,first,28228,0.37894734740257263,0.021248221397399902,intensifying hotspot
Chemical,first,28229,0.3578947186470032,0.02972257137298584,no pattern detected
Chemical,first,28301,-0.1789473593235016,0.284321665763855,no pattern detected
Chemical,first,28381,0.46315786242485046,0.004762768745422363,sporadic coldspot
Chemical,first,28382,0.4315789043903351,0.00858914852142334,no pattern detected
Chemical,first,28464,0.3578947186470032,0.02972257137298584,no pattern detected
Chemical,first,29201,-0.10526315122842789,0.5376031994819641,sporadic coldspot
Chemical,first,29202,-0.5263157486915588,0.0013182165566831827,intensifying coldspot
Chemical,first,29203,-0.15789473056793213,0.34676408767700195,sporadic coldspot
Chemical,first,29204,-0.042105261236429214,0.8203381896018982,sporadic coldspot
Chemical,first,29205,-0.18947367370128632,0.2561449408531189,persistent coldspot
Chemical,first,29206,-0.1473684161901474,0.3810323476791382,persistent coldspot
Chemical,first,29209,-0.3578947186470032,0.029722627252340317,sporadic coldspot
Chemical,first,29210,-0.4315789043903351,0.008589176461100578,intensifying coldspot
Chemical,first,29343,-0.08421052247285843,0.6264962553977966,sporadic coldspot
Chemical,first,29344,-0.31578946113586426,0.055592965334653854,persistent coldspot
Chemical,first,29363,-0.13684208691120148,0.4173041582107544,persistent coldspot
Chemical,first,29424,-0.442105233669281,0.007083868607878685,intensifying coldspot
Chemical,first,29427,-0.4842104911804199,0.0031528358813375235,intensifying coldspot
Chemical,first,30201,0.684210479259491,2.849102020263672e-5,sporadic coldspot
Chemical,first,30202,0.747368335723877,4.76837158203125e-6,sporadic coldspot
Chemical,first,30208,0.6315789222717285,0.00011301040649414062,sporadic coldspot
Chemical,first,30209,0.705263078212738,1.5974044799804688e-05,sporadic coldspot
Chemical,first,32201,0.10526315122842789,0.5376031398773193,sporadic coldspot
Chemical,first,32203,0.10526315122842789,0.5376031398773193,sporadic coldspot
Chemical,first,33101,0.6315789222717285,0.00011301040649414062,sporadic hotspot
Chemical,first,33202,0.6315789222717285,0.00011301040649414062,consecutive hotspot
Chemical,first,33211,-0.3684210181236267,0.025178339332342148,sporadic coldspot
Chemical,first,33212,-0.46315786242485046,0.004762812051922083,sporadic coldspot
Chemical,first,33213,-0.5157894492149353,0.0016490101115778089,no pattern detected
Chemical,first,34101,-0.08421052247285843,0.6264962553977966,no pattern detected
Chemical,first,34202,0.16842104494571686,0.31452488899230957,no pattern detected
Chemical,first,34204,-0.4842104911804199,0.0031528358813375235,sporadic coldspot
Chemical,first,34205,0.06315788626670837,0.721176266670227,sporadic coldspot
